year,country,"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, tertiary (% gross)",Internet Users(%),GDP per capita (current US$),"Inflation, consumer prices (annual %)"
2016,COL,76.471,1.068611890834,55.4842491149902,58.13649368,5936.26102166829,7.51346024627683
2015,COL,76.257,0.941994067106625,53.2821388244629,55.90497208,6228.65162186096,4.98983115849532
2014,COL,76.043,0.947136923375947,51.4163818359375,52.56999969,8167.47284156278,2.89883787761738
2013,COL,75.827,0.990034781454962,48.7331085205078,51.70000076,8263.64192942212,2.01699224310378
2012,COL,75.597,1.03966499994087,45.307300567627,48.97999954,8096.80150977527,3.16930188840063
2020,CAN,81.6704878048781,1.0737958268224,79.5169219970703,96.97000122,43349.677855557,0.716999632307852
2019,CAN,82.2287804878049,1.43613682316886,75.6988220214844,96.5,46374.1527517191,1.94926902411596
2018,CAN,81.8439024390244,1.41245586917998,70.1130218505859,94.63999939,46547.7951820036,2.268225672481
2017,CAN,81.8329268292683,1.19952071057872,68.9225082397461,92.70137024,45129.4292980922,1.5968841285297
2016,CAN,81.9248780487805,1.13234865466606,66.4391784667969,91.16000366,42315.6037056806,1.4287595470108
2015,CAN,81.8156097560976,0.746339477969813,64.7869567871094,90.0,43596.1355365546,1.12524136094279
2014,CAN,81.7843902439025,1.00533757867378,65.612907409668,87.12000275,50955.9983232404,1.90663590717873
2013,CAN,81.7448780487805,1.05659125917789,65.3322982788086,85.80000305,52635.1749580433,0.93829189781521
2012,CAN,81.6636585365854,1.08581726304756,63.980770111084,83.0,52669.0899632316,1.51567823124521
2020,LUX,82.1439024390244,1.66635867423273,19.198429107666,98.82242584,117370.49690016,0.819957302126994
2019,LUX,82.6390243902439,1.9628449198635,18.4300003051758,97.12063599,112621.821337402,1.74332075653843
2018,LUX,82.2951219512195,1.92883751398765,18.5904693603516,97.06130219,116786.511654675,1.52819524307373
2017,LUX,82.0951219512195,2.43097641776115,19.1517696380615,97.36296082,110193.213797229,1.73079959118897
2016,LUX,82.6853658536585,2.15531198799205,19.5639305114746,98.13669586,106899.293549555,0.290833333333306
2015,LUX,82.2926829268293,2.35995118136865,19.776309967041,96.37671661,105462.012584423,0.4747431614378
2012,LUX,81.3926829268293,2.40154189982875,19.4321994781494,91.94992065,112584.676270958,2.66284165508017
2020,NOR,83.209756097561,0.588757324043059,84.4436721801758,97.0,68340.0181033702,1.28658490707998
2019,NOR,82.9585365853659,0.675061373245644,83.2306900024414,98.00000763,76430.5889473338,2.16773003305405
2018,NOR,82.7585365853659,0.660090844249,83.0172576904297,96.49166107,82792.8427113304,2.76483134528794
2017,NOR,82.609756097561,0.807673181884948,81.9923477172852,96.35760498,76131.8384032764,1.87510059552548
2016,NOR,82.4073170731707,0.880969815359919,80.5465393066406,97.29820251,70867.3609970749,3.55000000000002
2015,NOR,82.3048780487805,0.995084736958414,77.9589385986328,96.81032562,74809.9658049898,2.17113665389528
2014,NOR,82.1,1.12773667734928,77.5435028076172,96.30000305,97666.6951838749,2.0417028670721
2013,NOR,81.7512195121951,1.20914158930136,76.5000305175781,95.05339813,103553.840134417,2.12048620353119
2012,NOR,81.4512195121951,1.31344098868985,73.5713424682617,94.64997864,102175.919298374,0.696864111498241
2020,FRA,82.1756097560976,0.271350507669993,69.3463821411133,84.80000305,39055.2829280747,0.476498852725083
2019,FRA,82.8268292682927,0.341374143157509,68.3579025268555,83.33974457,40494.8982936269,1.10825492288292
2018,FRA,82.6756097560976,0.358494581816163,67.5435180664063,82.04319,41557.8548588869,1.85081508315494
2017,FRA,82.5756097560976,0.29020211635109,65.8022308349609,80.50245667,38781.049487084,1.03228275064674
