country,year,"Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Urban population (% of total population),Rural population (% of total population),Population growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GNI (current US$),Military expenditure (% of GDP),General government final consumption expenditure (current US$),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP),"School enrollment, tertiary (% gross)"
ITA,1989,80.2,76.819512195122,73.6,66.746,33.254,0.0750090045352437,6.25983137956973,6.1973879442466,928661332204.347,16386.6622120866,3.31086193455002,924083371436.636,2.02642731989536,175622537397.686,,6.3122245710258,112.74,58.9081453791115,28.0650196075439
ITA,1988,79.7,76.3707317073171,73.2,66.766,33.234,0.0483205970471755,5.05824747667121,6.65040261914507,891608957155.608,15744.6612635428,4.14404212443536,889209764950.907,2.07285745924484,170312865218.685,,6.57494748809595,110.07,58.3928266131201,26.4842090606689
ITA,1987,79.6,76.219512195122,73.0,66.786,33.214,0.0102051195547741,4.7472849038979,6.00928278208094,805713128174.485,14234.7286380474,3.18143030285239,803229982073.499,2.06035364400414,150717393187.93,,6.53033441602669,117.82,58.8758685248754,24.8379192352295
ITA,1986,79.1,75.7707317073171,72.6,66.806,33.194,0.00544928189677628,5.82354691862018,7.48841788190988,640386352773.087,11315.0151767923,2.85436688673717,637091754773.347,1.97714264210667,115128160800.104,,6.69992382577231,113.57,59.1282038219017,25.6077098846436
ITA,1985,78.8,75.4707317073171,72.3,66.826,33.174,0.0288999392122477,9.20599144253119,9.17464240026035,452217492140.757,7990.68656551182,2.76838147537848,451126286380.692,1.93636892016635,82680266707.2305,,7.45449386282697,113.24,59.1168466664788,25.794059753418
IND,2022,,,,35.872,64.128,0.680372581057012,6.6990341407985,8.3182112923365,3385089881935.39,2388.62119776762,6.27740381398618,3317300045322.43,2.42522711696615,355078732097.43,,11.137448574541,,60.5470672730961,
IND,2021,68.886,67.24,65.756,35.393,64.607,0.797216093898126,5.13140747176369,8.53852548128178,3150306834279.65,2238.12713873311,8.18436771562176,3087256238074.61,2.47144662861613,352379050404.413,99.5725250244141,11.3192946488259,123.84,61.1151145884617,31.3036403656006
IND,2020,71.824,70.15,68.615,34.926,65.074,0.95522085775158,6.62343677628532,4.74654893260742,2671595389575.7,1913.21972103493,-6.72629208017965,2635665817940.12,2.81252756182972,310244965274.004,96.5,12.7734149844114,120.06,61.2715467653008,29.4413261413574
IND,2019,72.395,70.91,69.525,34.472,65.528,1.02531077187097,3.72950573539126,2.40551716106513,2835606242052.48,2050.16378973235,2.8118731022506,2808367608887.78,2.54862217391745,311992553649.952,95.8859405517578,10.4144880035748,116.09,60.91128763805,28.5728988647461
IND,2018,72.142,70.71,69.367,34.03,65.97,1.08752772157855,3.93882646691634,3.88424027196663,2702929639861.5,1974.37773014516,5.30240867857405,2673994275154.21,2.42428452604417,292543981522.311,95.7,10.5010190119962,114.18,59.2883228123904,28.0605525970459
