country,year,"Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Urban population (% of total population),Rural population (% of total population),Population growth (annual %),"Inflation, consumer prices (annual %)",Gini index,"Inflation, GDP deflator (annual %)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GNI (current US$),Current health expenditure (% of GDP),"Hospital beds (per 1,000 people)",Domestic private health expenditure per capita (current US$),Current health expenditure per capita (current US$),"Mortality caused by road traffic injury (per 100,000 population)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),"Literacy rate, adult total (% of people ages 15 and above)",Control of Corruption: Estimate,Military expenditure (% of GDP),General government final consumption expenditure (current US$),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP),"School enrollment, tertiary (gross), gender parity index (GPI)","School enrollment, tertiary (% gross)",Internet Users(%)
AUS,1973,75.34,71.8468292682927,68.52,84.478,15.522,1.52881691369673,9.09090909090911,,8.98202167809019,63832158872.5176,4770.71441498637,1.06244522127214,63870595771.9411,,11.8000001907349,,,,,,,,2.37934679594664,9324791800.12812,,31.9349827916758,52.24,54.4228337448064,0.591970026493073,19.5901298522949,
AUS,1972,74.92,71.4575609756098,68.16,84.32,15.68,1.83814626273502,6.02409638554218,,6.19141617230996,52042056074.7664,3949.46164337606,2.0177089085017,51818925233.6449,,11.8000001907349,,,,,,,,2.68562060485785,7498831775.70093,,36.9111571644683,48.91,54.5815749304121,0.560549974441528,18.3830108642578,
AUS,1971,74.5,71.0682926829268,67.8,84.16,15.84,3.38029353689954,6.13810741687979,,5.18597126583289,45216647240.0896,3495.14162789592,0.544149579791934,44719367160.4651,,11.6000003814697,,,,,,,,2.76315170889944,6286561006.60415,,38.3387630373528,47.76,54.4362429406519,0.535830020904541,17.0943508148193,
AUS,1970,74.44,71.0185365853659,67.76,83.999,16.001,1.97018887868806,3.43915343915344,,5.1324825296257,41333606618.3371,3304.83782028761,5.08501321765334,40867686543.734,,11.6999998092651,,,,,,,,2.96603557682305,5443200871.56532,,34.013536231507,45.31,54.079393036174,0.504000008106232,15.8165502548218,
AUS,1969,74.38,70.9687804878049,67.72,83.836,16.164,2.09302301013426,3.27868852459017,,4.7528000075967,36683365873.7405,2991.38594746314,4.82837960902805,36149125788.198,,11.6999998092651,,,,,,,,3.38591988002192,4788000766.65468,,32.8049835924639,43.0,55.0575519799713,,,
AUS,1968,74.32,70.9190243902439,67.68,83.672,16.328,1.76415865607642,2.52100840336133,,2.25232609499922,32714085238.1793,2724.13067184439,3.25626653306732,32410565189.5797,,11.8000001907349,,,,,,,,3.83727358459887,4449760712.49569,,34.0922913925492,45.26,56.7325139511794,,,
AUS,1967,74.26,70.8692682926829,67.64,83.507,16.493,1.26227688799781,3.47826086956521,,4.86791554914501,30442724874.4891,2580.11059195602,4.97151594397114,30228804840.2362,,11.8000001907349,,,,,,,,3.79376396722358,3888640622.64914,,41.3669043112733,39.2,55.9692432213679,,,
AUS,1966,74.2,70.819512195122,67.6,83.34,16.66,2.2831843822013,3.29341317365269,,2.68366190454712,27307844372.532,2343.81978993494,0.0680200897506182,27249604363.2067,,11.8000001907349,,,,,,,,3.45138290370603,3496640559.88209,,36.3553638686411,43.19,57.6983020260848,,,
AUS,1965,74.2,70.850243902439,67.66,83.068,16.932,1.95971689521361,3.40557275541798,,2.97975328740094,25976164159.3034,2281.01195638421,3.92373990902112,26052324171.4981,,11.8999996185303,,,,,,,,2.952292961532,3087840494.42502,,39.5769854203446,39.35,56.9395938429699,,,
AUS,1964,74.2,70.8809756097561,67.72,82.792,17.208,1.96235442011452,2.86624203821656,,3.28852586784545,23801123811.0359,2131.38030008381,4.90119722738464,23797763810.4979,,11.8000001907349,,,,,,,,2.64824279705097,2705920433.27198,,39.7859421982777,40.83,57.3196555456214,,,
